Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt8367814,2020-02-22,2020-02-22,,The Gentlemen,https://www.imdb.com/title/tt8367814/,movie,7.8,113,2019,"Action, Comedy, Crime",227468,2019-12-03,Guy Ritchie
2,tt6012380,2020-02-16,2020-02-16,,Ordinary Love,https://www.imdb.com/title/tt6012380/,movie,6.6,92,2019,"Drama, Romance",2818,2019-09-09,"Lisa Barros D'Sa, Glenn Leyburn"
3,tt1051906,2020-02-29,2020-02-29,,The Invisible Man,https://www.imdb.com/title/tt1051906/,movie,7.1,124,2020,"Drama, Horror, Mystery, Sci-Fi, Thriller",160636,2020-02-24,Leigh Whannell
4,tt1502397,2020-02-16,2020-02-16,,Bad Boys for Life,https://www.imdb.com/title/tt1502397/,movie,6.6,124,2020,"Action, Comedy, Crime, Thriller",126719,2020-01-07,"Bilall Fallah, Adil El Arbi"
5,tt7146812,2020-03-10,2020-03-10,,Onward,https://www.imdb.com/title/tt7146812/,movie,7.4,102,2020,"Animation, Adventure, Comedy, Family, Fantasy",96469,2020-02-21,Dan Scanlon
6,tt9214832,2020-02-16,2020-02-16,,Emma.,https://www.imdb.com/title/tt9214832/,movie,6.7,124,2020,"Comedy, Drama, Romance",28087,2020-02-13,Autumn de Wilde
7,tt7772582,2020-03-10,2020-03-10,,Never Rarely Sometimes Always,https://www.imdb.com/title/tt7772582/,movie,7.4,101,2020,Drama,11709,2020-01-24,Eliza Hittman
8,tt9777644,2020-07-05,2020-07-05,,Da 5 Bloods,https://www.imdb.com/title/tt9777644/,movie,6.5,154,2020,"Adventure, Drama, War",36511,2020-06-12,Spike Lee
9,tt7126948,2020-02-16,2020-02-16,,Wonder Woman 1984,https://www.imdb.com/title/tt7126948/,movie,5.5,151,2020,"Action, Adventure, Fantasy",121233,2020-12-16,Patty Jenkins
10,tt6723592,2020-02-16,2020-02-16,,Tenet,https://www.imdb.com/title/tt6723592/,movie,7.5,150,2020,"Action, Sci-Fi, Thriller",255279,2020-08-22,Christopher Nolan
11,tt8816194,2020-02-22,2020-02-22,,Come to Daddy,https://www.imdb.com/title/tt8816194/,movie,6.0,96,2019,"Comedy, Horror, Mystery, Thriller",13167,2019-04-25,Ant Timpson
12,tt10451852,2020-03-10,2020-03-10,,Nine Days,https://www.imdb.com/title/tt10451852/,movie,7.2,124,2020,"Drama, Fantasy",321,2020-01-27,Edson Oda
13,tt9484998,2020-03-10,2020-03-10,,Palm Springs,https://www.imdb.com/title/tt9484998/,movie,7.4,90,2020,"Comedy, Fantasy, Mystery, Romance",68281,2020-01-26,Max Barbakow
14,tt8544498,2020-03-25,2020-03-25,,The Way Back,https://www.imdb.com/title/tt8544498/,movie,6.7,108,2020,"Drama, Sport",29722,2020-03-01,Gavin O'Connor
15,tt8332922,2020-03-25,2020-03-25,,A Quiet Place Part II,https://www.imdb.com/title/tt8332922/,movie,,97,2020,"Drama, Horror, Sci-Fi, Thriller",,2020-03-08,John Krasinski
16,tt10633456,2020-04-02,2020-04-02,,Minari,https://www.imdb.com/title/tt10633456/,movie,7.7,115,2020,Drama,2037,2020-01-26,Lee Isaac Chung
17,tt11697690,2020-04-02,2020-04-02,,Domangchin yeoja,https://www.imdb.com/title/tt11697690/,movie,6.8,77,2020,Drama,1007,2020-02-25,Sang-soo Hong
